post,year,annual_peak_cm,annual_peak_date,spring_peak_cm,spring_peak_date,spring_min_cm,spring_amplitude_cm,max_rise_7d_cm_day,max_fall_7d_cm_day,rise_start_date,days_from_rise_to_peak,days_above_p90,days_above_p95,p90_level_cm,p95_level_cm,annual_peak_cm_z,spring_peak_cm_z,spring_amplitude_cm_z,max_rise_7d_cm_day_z,days_above_p90_z,days_above_p95_z
Витим,2018,874.0,2018-06-03,874.0,2018-06-03,33.0,841.0,79.14285714285714,-36.714285714285715,2018-05-03,31,54,31,470.0,588.5,1.1604488222187246,1.1031230199680018,0.8985470639364375,0.2948962406293292,1.1344938392016244,1.2617759254229717
Витим,2019,784.0,2019-06-14,784.0,2019-06-14,-10.0,794.0,53.714285714285715,-43.57142857142857,2019-05-09,36,20,14,470.0,588.5,0.16814104074903136,0.25682725611402063,0.46567877945200375,-1.2518155334265286,-0.7703353229146832,-0.25013179138340846
Витим,2020,700.0,2020-05-29,700.0,2020-05-29,46.0,654.0,57.142857142857146,-34.142857142857146,2020-04-28,31,39,15,470.0,588.5,-0.7580128886226823,-0.5330487901496951,-0.8237161105016284,-1.0432701256886598,0.2941280323856063,-0.16119604333597434
Витим,2021,787.0,2021-06-09,787.0,2021-06-09,-7.0,794.0,67.14285714285714,-31.142857142857142,2021-05-12,28,31,14,470.0,588.5,0.20121796679802112,0.28503711490915334,0.46567877945200375,-0.43501268645321056,-0.15406706458293665,-0.25013179138340846
Витим,2022,720.0,2022-05-28,720.0,2022-05-28,15.0,705.0,64.57142857142857,-34.714285714285715,2022-05-07,21,49,19,470.0,588.5,-0.5375000482960838,-0.34498306484881036,-0.3540079720185195,-0.5914217422566118,0.854371903596285,0.19454694885376214
Витим,2023,765.0,2023-07-05,755.0,2023-06-14,41.0,714.0,95.71428571428571,-52.714285714285715,2023-05-11,34,46,23,470.0,588.5,-0.04134615756123722,-0.015868045572262145,-0.2711183005215003,1.30286571136236,0.6862987422330814,0.5502899410434986
Жиганск,2008,1241.0,2008-05-29,1241.0,2008-05-29,-147.0,1388.0,141.0,-33.857142857142854,2008-05-21,8,45,21,611.0,746.0,0.7479978047508434,0.7479978047508434,0.611185453216723,0.18718199116467002,1.1245246014185033,0.6081751796812559
Жиганск,2009,1039.0,2009-05-28,1039.0,2009-05-28,-108.0,1147.0,73.85714285714286,-41.285714285714285,2009-05-16,12,41,30,611.0,746.0,-0.40595393985761763,-0.40595393985761763,-0.7105930703972332,-1.7357805410188274,0.7699946778185811,1.7605070990773197
Жиганск,2010,968.0,2010-05-29,968.0,2010-05-29,-162.0,1130.0,119.28571428571429,-35.714285714285715,2010-05-24,5,16,11,611.0,746.0,-0.8115508401902946,-0.8115508401902946,-0.8038305596148151,-0.4347122745627588,-1.4458173446809328,-0.6721936196477039
Жиганск,2011,1007.0,2011-05-23,1007.0,2011-05-23,-189.0,1196.0,112.71428571428571,-65.14285714285714,2011-05-16,7,9,6,611.0,746.0,-0.5887581766272748,-0.5887581766272748,-0.4418497191230263,-0.6229171181381653,-2.0662447109807967,-1.312378019312184
Жиганск,2012,1107.0,2012-05-24,1107.0,2012-05-24,-151.0,1258.0,114.0,-27.142857142857142,2012-05-16,8,37,20,611.0,746.0,-0.017494936722096097,-0.017494936722096097,-0.10180711138831561,-0.5860944313516726,0.41546475421865886,0.4801382997483599
Жиганск,2013,1121.0,2013-05-22,1121.0,2013-05-22,-188.0,1309.0,157.57142857142858,-44.57142857142857,2013-05-19,3,42,12,611.0,746.0,0.06248191686462892,0.06248191686462892,0.1779053562644303,0.6617855097461294,0.8586271587185617,-0.5441567397148079
Жиганск,2014,1062.0,2014-05-21,1062.0,2014-05-21,-90.0,1152.0,107.71428571428571,-41.857142857142854,2014-05-13,8,26,11,611.0,746.0,-0.27456339467942653,-0.27456339467942653,-0.6831702794508855,-0.7661164556411917,-0.5594925356811273,-0.6721936196477039
Жиганск,2015,1331.0,2015-05-25,1331.0,2015-05-25,-111.0,1442.0,171.0,-77.85714285714286,2015-05-19,6,40,15,611.0,746.0,1.2621347206655043,1.2621347206655043,0.9073515954372775,1.0463780161828284,0.6813621969186006,-0.16004609991611998
Жиганск,2016,863.0,2016-05-23,863.0,2016-05-23,-178.0,1041.0,107.42857142857143,-33.857142857142854,2016-05-21,2,39,11,611.0,746.0,-1.4113772420907322,-1.4113772420907322,-1.2919562384598031,-0.7742992749270787,0.59272971601862,-0.6721936196477039
Жиганск,2017,914.0,2017-05-30,914.0,2017-05-30,-269.0,1183.0,105.0,-36.0,2017-05-22,8,29,13,611.0,746.0,-1.120032989739091,-1.120032989739091,-0.5131489755835301,-0.8438532388571202,-0.29359509298118563,-0.41611985978191196
Жиганск,2018,1467.0,2018-05-27,1467.0,2018-05-27,-190.0,1657.0,182.28571428571428,-93.28571428571429,2018-05-21,6,26,16,611.0,746.0,2.0390527269365473,2.0390527269365473,2.086531606130226,1.3695993779753737,-0.5594925356811273,-0.032009219983223994
Жиганск,2019,1374.0,2019-05-27,1374.0,2019-05-27,-154.0,1528.0,205.28571428571428,-58.57142857142857,2019-05-22,5,36,17,611.0,746.0,1.5077779138247311,1.5077779138247311,1.3790235997144569,2.0283163304892953,0.3268322733186783,0.09602765994967198
Жиганск,2020,1039.0,2020-05-23,1039.0,2020-05-23,-205.0,1244.0,166.14285714285714,-46.57142857142857,2020-05-19,4,21,10,611.0,746.0,-0.40595393985761763,-0.40595393985761763,-0.178590926038089,0.9072700883227456,-1.00265494018103,-0.8002304995805999
