period,year,month,station_id,station_name,tmean_month,tmean_z,precip_month,precip_z,winter_thaw_days,winter_thaw_z,max_daily_precip,signals,triggered_parameters,risk_points,severity
2011-10,2011,10,24343,Жиганск,-8.85,-0.5,92.4,2.3,4,1.11,12.8,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2011-12,2011,12,24944,Олёкминск,-29.06,0.56,28.5,1.43,0,,4.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2012-04,2012,4,24688,Оймякон,-9.53,0.86,16.0,2.96,5,3.05,4.3,аномально влажный месяц; много дней оттепели,precip_z ≥ 2 или precip_month ≥ P95; month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,3,экстремальная
2012-04,2012,4,24944,Олёкминск,-4.57,-1.16,28.1,2.51,3,-1.81,11.4,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2012-05,2012,5,24343,Жиганск,4.78,0.54,44.1,1.85,0,,16.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2012-05,2012,5,24688,Оймякон,7.03,2.08,7.8,-1.03,0,,4.0,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2012-07,2012,7,30230,Киренск,18.75,0.19,126.0,3.04,0,,47.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2012-08,2012,8,24688,Оймякон,10.06,-0.94,102.9,3.45,0,,32.1,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2012-10,2012,10,24959,Якутск,-7.38,-1.08,35.3,1.61,4,-0.31,7.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-05,2013,5,24343,Жиганск,7.9,2.28,13.5,-0.9,0,,7.8,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2013-05,2013,5,24944,Олёкминск,9.25,1.11,91.8,2.99,0,,20.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-05,2013,5,24959,Якутск,10.18,1.28,49.9,2.96,0,,24.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-06,2013,6,24959,Якутск,17.61,-0.38,60.4,2.74,0,,25.7,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-07,2013,7,24688,Оймякон,14.77,-0.54,121.9,2.77,0,,18.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-07,2013,7,24944,Олёкминск,15.89,-2.36,153.0,2.01,0,,59.0,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-09,2013,9,24959,Якутск,5.97,-0.31,46.0,1.44,0,,13.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2013-11,2013,11,30230,Киренск,-8.05,1.9,36.4,1.52,3,2.19,7.0,аномально влажный месяц; много дней оттепели,precip_z ≥ 2 или precip_month ≥ P95; month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,3,экстремальная
2013-11,2013,11,24944,Олёкминск,-16.73,0.79,24.8,0.35,1,2.46,4.1,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,умеренная
2013-11,2013,11,24343,Жиганск,-25.24,0.59,64.2,3.05,0,,14.9,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2013-11,2013,11,24959,Якутск,-24.79,0.06,33.1,3.56,1,,8.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2013-12,2013,12,24266,Верхоянск,-37.0,2.74,6.1,-0.34,0,,2.0,аномально тёплый месяц,tmean_z ≥ 2,1,умеренная
2013-12,2013,12,24343,Жиганск,-29.05,4.68,19.8,0.61,0,,3.4,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2013-12,2013,12,24688,Оймякон,-38.13,3.26,7.8,-0.23,0,,1.2,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2013-12,2013,12,24959,Якутск,-30.24,3.94,8.4,-0.26,0,,0.8,аномально тёплый месяц,tmean_z ≥ 2,1,экстремальная
2014-01,2014,1,30230,Киренск,-24.95,0.27,29.1,1.34,0,,3.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
2014-02,2014,2,24266,Верхоянск,-43.51,-0.32,11.3,3.17,0,,4.5,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2014-02,2014,2,24688,Оймякон,-35.91,1.93,23.6,5.4,0,,12.3,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,экстремальная
2014-04,2014,4,24944,Олёкминск,1.72,2.34,11.4,-0.22,21,2.24,2.9,аномально тёплый месяц; много дней оттепели,tmean_z ≥ 2; month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,3,экстремальная
2014-04,2014,4,24959,Якутск,-0.06,1.68,6.1,-0.77,18,2.23,2.1,много дней оттепели,month ∈ X–IV; winter_thaw_days > 0; winter_thaw_z ≥ 2,2,умеренная
2014-04,2014,4,24343,Жиганск,-3.51,1.9,37.0,2.02,8,1.09,7.2,аномально влажный месяц,precip_z ≥ 2 или precip_month ≥ P95,1,умеренная
