post,Киренск,Витим,Ленск,Олёкминск,Покровск,Якутск,Табага,Сангар,Жиганск
Киренск,1.0,0.8073349985188403,0.8126901843545278,0.788587052469286,0.7439078625806291,0.7061487551936265,0.7080461211271689,0.6818188580822531,0.6486231876866716
Витим,0.8073349985188403,1.0,0.9792023610008406,0.9687882492515729,0.9411295397514741,0.9254900054590454,0.9333671661506158,0.8882565262616188,0.8776944900444213
Ленск,0.8126901843545278,0.9792023610008406,1.0,0.9775703871658324,0.9601918906808664,0.9498308598064538,0.9564179252880536,0.9091557006891327,0.8897906206626134
Олёкминск,0.788587052469286,0.9687882492515729,0.9775703871658324,1.0,0.9704735642313723,0.9596402824576902,0.9668819056031687,0.9214782311305048,0.8993277786595607
Покровск,0.7439078625806291,0.9411295397514741,0.9601918906808664,0.9704735642313723,1.0,0.9914630998200648,0.9923108463905805,0.9600434583788369,0.9262081010576447
Якутск,0.7061487551936265,0.9254900054590454,0.9498308598064538,0.9596402824576902,0.9914630998200648,1.0,0.9956401002825143,0.9683504901162421,0.9405099324685265
Табага,0.7080461211271689,0.9333671661506158,0.9564179252880536,0.9668819056031687,0.9923108463905805,0.9956401002825143,1.0,0.9701382378154656,0.9428847967797926
Сангар,0.6818188580822531,0.8882565262616188,0.9091557006891327,0.9214782311305048,0.9600434583788369,0.9683504901162421,0.9701382378154656,1.0,0.9545802063462523
Жиганск,0.6486231876866716,0.8776944900444213,0.8897906206626134,0.8993277786595607,0.9262081010576447,0.9405099324685265,0.9428847967797926,0.9545802063462523,1.0
