date_start,date_end,type_chs,location,region,season_type,damage_rub
2020-05-13,2020-05-14,Паводок, (р. Лена),Республика Саха (Якутия),весенний,
2020-05-20,2020-05-21,Затор,(р.Колыма г.Среднеколымск),Республика Саха (Якутия),весенний,
2020-05-27,2020-07-01,Чрезвычайная пожароопасность,,Республика Саха (Якутия),весенний,
2021-05-21,2021-05-21,Затор,(р. Колыма -г. Среднеколымск),Республика Саха (Якутия),весенний,
2021-05-31,2021-07-27,Чрезвычайная пожароопасность,"(Амгинский, Вилюйский, Намский, Мирнинский, 8 районов)",Республика Саха (Якутия),весенний,
2021-08-01,2021-08-19,Чрезвычайная пожароопасность,"(г.Якутск и окрестности, Намский, Алданском, Горный, Усть-Алданский, Чурапчинский, Томпонский, Усть-Майский, Нюрбинский, Амгинском, Жиганский)",Республика Саха (Якутия),другой,
2022-05-23,2022-05-24,Половодье,"(р. Лена, г.п. Графский берег",Республика Саха (Якутия),весенний,
2022-06-29,2022-06-29,Чрезвычайная пожароопасность,"(г. Якутск, Намский, Алданский, Верхневилюйский Нюрбинский, районы).
г. Якутск, Намский, Алданский, ВерхневилюйскийНюрбинский, районы).",Республика Саха (Якутия),весенний,
2022-07-14,2022-07-20,Паводок,(р. Яна),Республика Саха (Якутия),другой,
2022-10-24,2022-10-24,Ветер,"(Жиганский, Мирнинский районы)",Республика Саха (Якутия),осенний,
2023-05-17,2023-05-26,Половодье," (р. Колыма,  ГП Зырянка)",Республика Саха (Якутия),весенний,
2023-05-21,2023-05-23,Половодье,"(р. Лена,  ГП Сангар).",Республика Саха (Якутия),весенний,
2023-05-31,2023-06-01,Половодье,"(р. Анабар,  ГП Саскылах)",Республика Саха (Якутия),весенний,
2023-06-19,2023-06-20,Чрезвычайная пожароопасность,"(Усть-Майский район, Эвено- Бытантайский район)",Республика Саха (Якутия),весенний,
2023-07-01,2023-07-31,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
2023-08-04,2023-08-30,Чрезвычайная пожароопасность,,Республика Саха (Якутия),другой,
