year,anomaly_date,spring_peak_cm,spring_peak_cm_z,max_rise_7d_cm_day,max_rise_7d_cm_day_z,hydro_trigger_z,trigger_metric,applied_trigger_threshold,severity,risk_points
2010,2010-05-21,845.0,1.5103631935066506,125.42857142857143,1.1966616108104293,1.5103631935066506,spring_peak_cm_z,1.5,moderate,2
2020,2020-05-14,854.0,1.579584167365644,123.57142857142857,1.1213953226191473,1.579584167365644,spring_peak_cm_z,1.5,moderate,2
